label,comment
0,omg that bgm make me goosebumb...
0,neraya neraya neraya neraya neraya neraya.
0,thalaivar mersal look .semma massss thalaiva .thalapathy diwali .bhairava treat
0,paaaa... repeat mode.... adra adra adraaaaa..... vera level... vare va....
0,epaa ena panaporam... sweet sapade poram... awesome... rajnism
0,super film no doubt jai jai rajnikanth all enthiran haters
0,hit like u r a rajinikanth fan
0,sir pls postpone robo 2.0 movie
0,thala naala tharuu maruu malai thandi oyatutaru anga ultimate star ru
0,thaliavaa anna......pakka mass na nichance eh illa..semma
1,oru pakkam bigil. bigil anil kunjugalin alaparaikal
1,தேர்தலில் இந்த ஒற்றுமை இருந்தால் சிலபேருக்கு செருப்படி தான்.... படம் வெளியவே வரல அதுக்குள்ள கத்துறாங்க படம் வெளிவந்தால் செத்துவிடுவானுங்க.
0,மெட்ராஸ் மூவி கார்த்தி சார் அம்மா சொல்லுரது போல : என்ன சிரிப்பு அது கலுக்குனு நல்ல கலகலனு சிரிக்குறது
0,vera level bgm and stylish vikram sema mass....
0,kaappan trailer parthuttu vanthu teaser parthavanga ethana peru
0,valimai trailer ku waiting records break pannum kandipa 2.5m likes
0,தருமபுரி மாவட்ட தீரன் சின்னமலைகவுண்டர் பேரவை சார்பாக வாழ்த்துக்கள்
0,thala is awesome ...... direct-siva salute
0,படம் வரனும்.. 10 தடவை பாப்பேன்.. திருநெல்வேலி பூராம் ஒரு பிள்ளைகள விடாம எல்லா தாய்தகப்பனும் இந்த படத்துக்கு கூட்டிட்டு போகனும்.. திருநெல்வேலி காரன் பூராம் கையத்தூக்கி சப்போர்ட் பண்ணுங்க.. டிரைலர் எல்லாருக்கும் அனுப்புங்க..
0,ok adi thul
0,all the best from kiccha sudeep boss fans
0,நாட்டை ஆண்ட நாயுடு நாயக்கர் அமைப்பு சார்பில் வெற்றி பெற வாழ்த்துகள்
0,innaiku thaan engaluku diwali happy diwali force
0,எல்லாரும் சந்தோசமா இருந்தா ஒருத்தனாலும் பொழப்பு நடத்த முடியாது அதனால ஜாதிய உள்ள கொண்டு வரானுங்க இது புரியவே நமக்கு ரொம்ப வருஷம் ஆகும்.
0,darbar motion poster see after petta trailer
0,anna i'm wit movie paka mass
0,semma semma semma waiting all kerala sk fans
0,akshay kumar ghost ah robo va?
