label,comment
0,പലദേശം. പല ഭാഷ ഒരേ ഒരു രാജാവ് അല്ലാതെ സ്വന്തം രാജവയത് അല്ല
0,ഈ ഓണം ഏട്ടനും പിള്ളേർക്ക് ഉള്ളതാണ് എന്ന് ഉള്ളവർ ലൈക്‌ അടി
0,ആരണ്ട ആരണ്ട തലുണ്ടാകാണാ ആരണ്ട ഞാൻ ആണ്ട ഞാൻ ആണ്ട ഞാൻ royal mech ആടാ ആരണ്ട ആരണ്ട മീശ പിരിക്കുന്ന ആരണ്ട ഞാൻ ആണ്ട ഞാൻ ആണ്ട ഞാൻ royal mech ആടാ
0,sushin syam shaiju khalid midhun manual
0,j a k e s. b ej o y !!!
0,pwoli item padam kananda ennu karuthiyatha pakshe ini kaanum
0,oru ratchasan feel kittitu ullalo. bgm athra adipoliyano
0,super casting
0,ഷൈലോക്ക് ന്റെ നല്ല ടീസർ ആയിട്ട് പോലും ട്രോളി നടന്ന ലാലേട്ടൻ ഫാൻസിന് കിട്ടിയൊരു നല്ലൊരു തിരിച്ചടി തന്നെ ആയിരിന്നു ബിഗ് ബ്രദർ ന്റെ ട്രെയ്‌ലർ
0,ന്റമ്മോ ഇജ്ജാതി trailor.. uffftrailor ethegilum.. padam. pwoliyo pwoli
0,ഇത് ബോംബ് ആകും എന്ന് തോന്നുന്നവർ like അടിക്ക്....
0,ee asurante varavin katta waiting........mammookka.. uyir
0,rajuvettan chunkalla chunkidipaan adi makalle like neela adi chunk കളെ
0,ettan kurch koode perfect akum enn vicharikunu by h
0,മാമാങ്കത്തിൽ മമ്മൂക്കയെ കണ്ടു . ഇതിപ്പോ ആരാ .
0,vada.. ithu kettu romancham vannavarku likenulla coment
0,haneef adeni pwolikkum maass trailer mommookkayude face kanum yenn pradeekshichu sambavam marana maass aann
0,padam vere leval kandu ada oru figth
0,ഓണത്തിനു ജെട്ടിമാണി നൽകിയ ക്ഷീണം ക്രിസ്മസിനു ഇതു മാറ്റുമെന്ന് പ്രതീക്ഷിക്കുന്നു '
0,ആ ജോഷി തന്നെയാണോ??? joshiy എന്നു കണ്ടതുകൊണ്ടു ചോതിച്ചതാണ്???ആരാണെങ്കിലും trailer അടിപൊളി!
0,തെറ്റ് കൾ തിരുത്തിയാൽ നന്നായിരിക്കും. അല്ലങ്കിൽ തിരുത്താൻ പറ്റാത്ത തെറ്റായിരിക്കും.
0,ikka polikumen urappullavar like and comment please
0,december 12 inn katta waitingullar like poad
1,jobi jorge padam ano. potti mone
0,ippo mansilai e padam 8 nilayil pottum
0,adar trailer ......summer mass entertainer thanne aayirikum enn pratheekshikunnu......
0,richie orma vanathu eniku mathram ano
0,ningalkarkum commercile pillere ariyillie mech
0,kalkikku malayalathinte dhathuputhran alluarjun fansite vijayaashamsakal
0,fahad shane soubin baasi kidu team
