label,comment
0,மூவி வேற லெவல்ல இருக்க போகுது
0,படம் நல்ல காமெடி படமா இருக்கும் போலையே..
0,கார்த்திக் சுப்புராஜ் அண்ணே .... இந்த படம் வெற்றி அடைய உங்கலுக்கு என்னுடைய வாழ்த்துக்கள்...
0,கவுண்டர் தேவர் சார்பாக வெற்றி பெற வாழ்த்துக்கள் 🦁
0,இப்போ இந்த ட்ரெய்லரை பார்க்குறவங்க ஒரு லைக் போடுங்க
0,என் தலைவன் யோகி பாபு இருக்கார். படம் வேற லெவல்லா இருக்கும்
0,நேர்கொண்ட பார்வை... செம்ம செம்ம செம்ம ட்ரெய்லர்
0,ஏய் இது 96 யார் ஏமாத்தறீங்க? செம்ம பின்னிட்டீங்க
0,படம் கண்டிப்பாக வெற்றி பெற வேண்டும் செம்ம வேற லெவல்
1,கரெக்ட். எங்க அப்பா மிலிட்டரி டா ஓடி விளையாட சொல்லி தருவாராயா
0,டிஸ்லைக் போட்டவன் ரத்தம் காக்கி தான் சாவான்
0,ஆனந்தி ஆர்மியை லைக் பண்ணுங்க!! என்னையும் இப்படி ஆக்கிட்டீங்களே ஆனந்தி...
0,தலைவா மாஸ் நடிப்பின் நாயகன் சூர்யா அண்ணா ஃபேன்ஸ் லைக்
0,இந்த படம் கண்டிப்பாக வெற்றியடைய வேண்டும் என வாழ்த்துகிறேன்....
0,இந்த 1.06 போது யாராச்சும் சிரிச்சா லைக் பண்ணுங்க .... தாமசூ!!
1,டேய் ரஜினி பாவம் டா நீ வாரவன் போறவன் எல்லாரும் கரித்து கொறைய பேசிட்டு இருக்கான் 1:58
0,செட்டியார் இன மக்கள் சார்பாக எனது சொந்த செலவில் 100 டிக்கெட் இலவசமாக வழங்குகிறேன். படக்குழுவினர்க்கு எனது மனமார்ந்த வாழ்த்துக்கள்
0,தனுஷ் ஃபேன்ஸ் இங்க லைக் பண்ணுங்க.....
0,ஆதி என்ன பா டிஃபரென்டா இருக்கு சும்மா
0,விசுவாசம் டீசர்க்கு அப்புறம் யார்லாம் இங்க வந்தீங்க?
1,இந்த மாதிரி கமெண்ட்ஸ்கு லைக் கேக்குறவங்கள இந்தியாவை விட்டு வெளிய அனுப்பனும்
1,250k லைக்ஸ் இந்த நேரம் சில அறிவுகெட்ட புண்டைக இதுக்கு காரணம் விவேக் ஓப்ராய் இல்ல கஜல் இல்ல அக்ஷரா கக்கத்தான் இன்னும் சொல்லல?
0,எல்லாம் ஓகே தான்....ஆனா அந்த பொண்ணு ஆசைப்பட்டு லவ் பண்ணி அவனையே கொலை பண்ண தப்பு இல்லையா...யோசிங்க............
1,ஷார்ட் ஃபிலிம்மையும் விட்டு வைக்கலயா... என்னடா பண்ணி வச்சிருக்கீங்க
0,சூப்பர் ஐ ஆம் வெயிட்டிங்
0,நானி மற்றும் சூர்யா பரஸ்பர ரசிகர்கள் யாராவது இருக்கீங்களா?
1,தமிழ் நாட்டுல இருக்குற சாதிய பைத்தியக்கார கூதியானுங்கள எல்லாம் ஓரே இடத்தில் பார்க்க ஒரு வாய்ப்பை தந்த மோகன் வன்னிக்கு சாரி பன்னிக்கு நன்றிகள்
0,கெக்கா பெக்கா ஷார்ட் பிலிம் மாதிரி இருக்கு
0,மூவி பார்த்து ஃபீல் பண்ணுங்க லைக் பண்ணுங்க
0,இந்த படமாவது ஸ்கேக்கு நல்ல கம்பேக்கா இருக்கணும்...
0,டான்ஸ் இல்ல பீ தேவாவை பார்க்கவே முடியாது போல
0,இந்த படம் மாபெரும் வெற்றியடையும். ஹாசன் ரசிகர்களின் வாழ்த்துக்கள்
0,எஸ் டி ஆர் மாஸ் நாம்ப தான் டா
1,ஒத்தா வாய ஒடைச்சிருவேன் தளபதிய பாத்து சிரிச்சிருக்க
0,பி- பயங்கரமான ஏ - அஜித் ஐ - இல் ஆர் - ரசிகர் ஏ - அட்மிட்டிங் வி- விஜய் ஏ - அண்ணா ஏ - அருமை <3
0,ஜஸ்ட் 10 இயர்ஸ் அப்படியே எல்லாரும் பாத்தா மாதிரி இருகிங்க 🥳 படம் வெற்றி அடைய வாழ்த்துக்கள் 🥳🥳🤩🤩
0,டை ஹார்ட் ஃபேன்ஸ் லைக் பண்ணுங்க...
0,சிங்கம் சிங்கிளா வரும் பைரவா பைக்கிரம்மா வரும்
0,சூப்பர் செம்ம மாஸ் பிரம் விஜய் ஃபேன்
0,வெற்றி பெற வாழ்த்துக்கள் கண்டிப்பாக திரையரங்கில் பார்க்கவேண்டும்
0,என்னங்கடா டிரைலரையே வெறித்தனமா எடுத்துருகீங்க...அப்போ படம்....ஸ்கிரீன் கிழிய போகுது...செம்மயா தலைவா
1,8000 டிஸ்லைக் பீப்பிள் சுட் டை அஸ் சூன் அஸ் பாசிபில்
0,இது சாதி படம் அல்ல பெண்களின் படம் ஒரு சில பேர் பண்ணும் தவறால் சாதிக்கு கெட்ட பேரு அதான் படம்
0,ஜெயம்ரவி உங்கமேல நல்ல மரியாதை இருக்கு தலைவரை நீங்கள்ளும்மா
0,வெற்றி பெற வாழ்த்துக்கள்... வெள்ளாளர் சார்பாக
0,மரண பங்கம்...வெறித்தனம் ஓவர்லோடட் டூ சூர்யா அண்ணா ஃபேன்ஸ்...ஹ்ம்ம் கொலை மாஸ் பண்ணுங்க பங்காளிகளா...
0,கூஸ்பம்ஸ் வந்த வங்காளா லைக் போடுங்க
0,இந்த படம் வரணும் சமூக மாற்றத்திற்கான படம் ...18k டிஸ்லைக்ஸ் இதுல என்ன தெரியுது அவ்ளோ போரிக்கு பொரிக்குட்டு இருக்கு பொண்ணுங்கள...
0,மார்வெல் மீடியா என்னுடைய சேனல். ப்ளீஸ் விசிட் பண்ணுங்க சப்ஸ்கிரைப் பண்ணுங்க
0,சிறப்பான தரமான சம்பவத்தை இனிமே தான் பாக்க போறோம்
0,0.41 பெயர் டேக்கை பாருங்கள் விஜய் குமார்
0,திரௌபதி சாதி வெறி படம்...சிறுத்தைகள் அப்போ ப.ரஞ்சித் எடுத்தது என்ன படமாடா நாயே🤣
0,அன்றைக்கு எங்கள் குல சாமி சொன்னது திரௌபதி திரைப்படம் இவன்.மாவீரன் தம்பி சரத்...🦁🦁🦁
0,போத் விசிகே & பிஎம்கே ஃப்ராடு பசங்க தான் டா ஏன் டா இத படத்துல காட்டி எங்கள மக்கள ஜாதி கலவரம் தூண்டுரிங்க
0,மனசு குள்ள இருந்த கோவம் எல்லாம் இப்போ வெட்ட வெளிச்சம் ஆகியிருக்கு .. நன்றி படக்குழு
1,தியேட்டர் எல்லாம் இன்சூர் பண்ணி வச்சுகங்கப்பா.. 2.00 ல தியேட்டர் எல்லாம் கன்டம்!
1,நான் அரசியலுக்கு வருவது உறுதி.....ரஜினி டெல்ஸ் இந்த டயலாக் சின்ஸ் 96. செம்மே ஜோக்.
0,தலைவர் வேற லெவல் சூர்யா என்னோட உயிர் அவரு ஒரு ராக்ஸ்டார்
0,வாவ் வாவ் வாவ்.... சூர்யா அண்ணா
1,கோமாளி லுக் டீசர்ல வரவே இல்ல
0,அருமை.... 10000000% சிறப்பு........ வாழ்க. குடும்பத்தினரோடு சென்று திரையரங்கில் மட்டுமே பார்ப்போம். இப்படிக்கு தேவர் மகன்.
0,ஜிமிக்கி கம்மலுக்கு இன்னும் நிறைய பார்வையாளிகள் இருக்காங்க 🤣
0,யு1 பிஜிஎம் மாஸ் வெரலா லெவல் தலை லுக் செமையா
0,வாழ்த்துக்கள் நண்பா... சமூகத்தின் நடக்கும் உண்மை சம்பவங்களை படமாக எடுத்ததற்கு நெஞ்சார்ந்த நன்றியைத் தெரிவித்துக்கொள்கிறேன்.. இது போன்ற படங்களை மென் மேலும் படைக்க வாழ்த்துக்கள்...
0,மணி ரத்னம் கிட்ட இப்படி ஒரு ஸ்கிரிப்ட் ஆஹ்... ஓ எம் ஜி... வேற லெவல்!!(
0,பங்காளிகளா 2 மில்லியன் லைக்ஸ் வரணும் இன்னும் வேகமா லைக் தெறிக்க விடுங்க
0,ஐய்யோ தலைவா வேற லெவல் கன்பார்ம் எல்லாருமே ரஜினிஃபைட்
0,அட்லீ வெறும் பய இல்ல. ட்ரெய்லர்லயே எவ்ளோ அழகா கதை சொல்றான்!!!
1,பா ரஞ்சித் பாரு டா உனக்கு எஸ்சி எஸ்டி கொட்டே ஜாப் கவர்மெண்ட் ஜாப் குவார்டர்ஸ் எல்லாம் கேன்சல் பண்ணனும்
0,கஜல் அகர்வால் இஸ் பேக் ஐ அம் சோ ஹேப்பி
0,விஜய் சேதுபதி சார் சங்கத்தமிழன் படம் எடுத்த எப்படி ஓடாம இருக்கு ஐ ஆம் வெயிட்டிங் மக்கள் செல்வன்🤩🤩🤩🤩🤩🤩🤩
0,கடைசி வார்த்தை இட்ஸ் சூப்பர் (ஒருத்தவங்க மேல விசுவாசத்த காட்டுரதுக்காக இன்னொருத்தவங்கள அசிங்க படுத்தாதிங்க).
0,தலைவா தாறு மாறு மரண மாஸ் விளையாடலாமா
1,2.04 .ரஜினி ஆஹ் செருப்பால அடிச்ச மாறி இருந்துச்சு
0,எஸ்கே காக பாக்க வந்தவங்க லைக் பண்ணுங்க
0,பட் கிராபிக்ஸ் சொதப்பல் பண்ணிட்டானுக ஆங்கில கார போட்டிங்க அதான் படம் லேட் ஆகிடிச்சி
0,அரசியலுக்கு வருவது உறுதி ... ரஜினி .... இது 1996 ... 🤣🤣🤣
0,எனி ஒன் ஆஃப்டர் என்கேகே அண்ட் காப்பான் டீசர்
1,பிரண்ட்னு ஃபேஸ்புக்ல லைக் குடுக்குற பிரண்ட்னு நினைச்சியா லைஃப்பே குடுக்கணும் டா
0,எல்லா சீனும் சும்மா தெரிக்குது கண்டிப்பா வேற லெவல் பிளாக்பஸ்டர்
0,குஜராத் பட்டேல் இனத்தின் சார்பாக வெற்றி பெற வாழ்த்துக்கள்
0,உனக்கு யாராவது பழைய பிரண்டு இருக்காங்களா...... நம்பாத....
1,ஸ்டேட்டு ஓடைகலாம் பட் பிஆர் கொள்கையை அழிக்க முடியாது
0,சூர்யா அண்ணா பெரிய ரசிகர்
0,ப்ளீஸ் தெலுங்கு டப்பிங் தெலுங்கு தனுஷ் ஃபேன்ஸ்
1,அயர்ன் மேன் ரசிகர்கள் இந்த வீடியோ க்குக் விருப்பம் இல்லை போடுங்க
1,பக்கத்துனே போற இந்த காளியோட ஆட்டத்த 🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘
1,மரண மாஸ் ஆஹ் இருக்கே...சாங் உம் ட்ரெய்லர் உம்...சாவடி
1,மேர்சல் கு சிரிச்சா சிரிப்பு விசுவாசம் மூவி கு இல்ல..இது என்ன டா அணில் கு வந்த சோதனை
0,தமிழ் டிரெய்லர் நச்சினா வல்லு ஓக்க லைக் ஹியர்... 1,தலை மட்டும் தான் ஒரிஜினல் மாஸ்...பிகாஸ் அதர்ஸ் பேப்பர்ல விளம்பரம் கொடுத்துட்டு பொறாக்கு ட்ரெய்லர் ரிலீஸ் பண்ணிட்டு சாதனை பண்ணிட்டத்தா பித்திக்குவாங்க தலை மட்டுமே விளம்பரமே செய்யாமல் கலக்குவார்....தல டா.. ..
1,என்னடா இப்படி எடுத்து வச்சிருக்கீங்க ......பாஆஆஆஆஆஆஃஃப்
1,காக்கா புடிக்கா சொல்லல்லா........காக்கா வுக்கா உன்ன புடிக்குது🤣🤣
0,எவன் யா கேமரா மேன்.... செம்ம விஷுவல்ஸ்.... அமேசிங்....
0,அஷோக் செல்வன் படம் நம்பி போகல பெருசா ஒன்னும் வச்சி செய்ய மாட்டரு
0,நேர்கொண்ட பார்வை டிரெய்லர் விமர்சனம் -
1,2 இயர்ஸ் ஆகிடுச்சு இன்னும் மூவி வரல
0,ட்ரெய்லர் பாக்க போறேன். ரௌத்திரம் மாதிரி இருந்தா கண்டிப்பா தியேட்டர்
0,ரஜினி ஸ்டைல் மா என்னா தெறிக்க விடலாமாஆஆஆஆஆஆ
0,ட்ரெய்லரை பாத்தா அங்காளி பங்காளி எலாம் ஒரு லைக் போடுங்க
1,மொத்தத்துல விசுவாசத்துக்கு பல்பை குடுக்கிறதுக்காகவே எடுத்த மாதிரி இருக்கு
0,வெறித்தனம் தனுஷ் ஃபேன் பிரம் ஸ்ரீலங்கா
0,கிரக்குக்குக்கு ஸ்டைல் கா பாப் சூப்பர் ஸ்டார் ரஜினி
1,விவஹம் பார்ட் 2 டிரெய்லர் மாதிரி இருக்கு
0,நடிப்பின் நாயகன் பிரில்லியண்ட் டைரக்டர் செல்வா சார் காம்போ யூ1 மியூசிக் கல்ட் இன் கிளாஸ் லோடிங்
0,****ஆ வேற லெவல்ல ட்ரெய்லர்...... மாஸ் கேங்க்ஸ்டர்ஸ்......
1,பாருடா...இவரு லாயர்லயே ரௌடி லாயரா இருப்பார் போல
0,லாஸ்ட் டயலாக் செம்ம கார்த்தி அண்ணா .... நல்லா பண்ணிருக்கீங்க ....
0,இங்க லைக் பண்ணுங்க சூர்யா ஃபேன்ஸ் இங்க லைக் பண்ணுங்க தென்னிந்திய இந்தி ஃபேன்ஸ்
0,இன்னாக்கி காலையில(13-6-19) எந்திச்சாதும் இங்க வந்தவன் யாரு?
0,100 டைம்ஸ்கு மேல பார்த்தவங்கலா லைக் போட்டுட்டு போங்க
0,வெற்றிமாறனிவனுக்கு மட்டும் எப்படி டா இந்த மாதிரி பிஜிஎம் கிடைக்குறது ஹாட்ஸ் ஆஃப்
1,செம்ம...பக்கா...கொல மாஸ்...தெறி...பெர்ஃபெக்ட் டைட்டில்...தளபதி அஜித் ஃபேன்ஸ் தேவிடியா பசங்கள அப்படியே ஓரமா போங்கடா அமயான்ஸ்ஸ்
0,கைப்புள்ள விஜய் ட்விட்டர்ல டிரெண்டிங் ஆகுது
0,தலைவா 🤣🤣🤣ஐ ஆம் வெயிட்டிங் யூ இந்த வேலண்டைன்ஸ் டே புரோகிராம் எஹ் நீங்க தான்
1,கொங்கு வேளாளர் கவுண்டர்கள் பேரவை சார்பாக படம் மிகப்பெரிய அளவில் வெற்றி பெற வாழ்த்துக்கள்... சாகட்டும் திருமா சக்கிலி
0,தலை மாஸ் லுக்ஸ் லைக் எ ஹாலிவுட் மூவி
0,எ வண்டர்ஃபுல் மற்றும் அமேசிங் சீ க்கு வெயிட்டிங்
0,அருவி மூவி ரியல் ஃபேன்ஸ் ஹிட் லைக் ஹியர் காய்ஸ்
0,யுனிக் கான்செப்ட் ஹாட்ஸ் ஆஃப் ஏதோ மெசேஜ் சொல்ற சட்டிரிக்கல் பிலிம் போல.
0,மார்னிங் எந்திரிச்சாடும் டீசர் பாக்க வந்தவங்க லாம் லைக் ஆஹ் போடு காப்பான் டீசர் வேற லெவல் 2019 நாங்க தான் டா
0,தாழ்த்தப்பட்ட மக்களின் நலனுக்காக தன் சொத்தை பங்கிட்டு அடைக்கலம் கொடுத்த மதிப்பிற்குரிய பசும்பொன் முத்துராமலிங்கத் தேவர் அவர்கள் வழியே சாதி மறந்து.....உணர்வுகளை மதித்து நபப்பவர்களின் சார்பாக படம் வெற்றி அடைய வாழ்த்துகிறோம்..
0,இந்திய மக்கள் சார்பாக இந்த படம் வெற்றி அடைய எமது வாழ்த்துக்கள்.. ட்ரெய்லர் வூஊஊ
0,லாஸ்ட் சீன் வேற லெவல் லவ் யூ தலை
0,சூர்யா லவ் யூ தலைவாஆஆஆஆ
0,படன்னா இது படம் ....செம்ம மெசேஜ் மூவி ....கிரேட்
0,சிங்கிள் பசங்க லைக் மீ
0,இந்த படம் தமிழ் சமுதாயம் மக்களுக்கு சிறந்த படமா இருக்கும்
1,என்னிக்கி நிறைய பேரு கிட்ட இல்லாத ஒரு கெட்ட பழசும் என் கிட்ட இருக்கு அஜித் ஃபேன்ஸ் ஓக்குரது தளபதி ஃபேன்ஸ் தான் மாஸ்
