label,comment
0,handsome hunk keri vaa thalaivaa
0,தென்காசி மாவட்டம் நாடார் சமுதாயம் சார்பாக வாழ்த்துக்கள்
0,சிறப்பு..... மேலும் இது போன்ற படைப்புகள் மிக அவசியம்....
0,vera level bgm .. semma trailer. 🤞
1,என்னடா பண்ணி வச்சிருக்கீங்க ?!!!! அந்த அம்மாவ !!!!
0,250k likes to go.....yaralam waiting 🥰
0,supar annan trailar semmaya iruku i am waiting annnnnnnaaaaaaaaa
0,maranam we luv u surya ann
0,absolute hardwork lot of luv 4 ilampuyal jayam ravi
0,sunny leone fans hit like
0,thaka fans ah iru dha like poduga
0,இராமநாதபுரம் மாவட்டம் சார்பாக அனைத்து சமுதாய பெண்களின் பாதுகாப்பிற்காக படம் எடுத்த இயக்குனர் வாழ்த்துக்கள்.
0,love super comedy grand pa love
0,therika veladama hvy
0,rajini aracial vera level
1,dei yenda ungalukku inthe illatha vella surya like a joker da
0,செம்ம funa இருக்க போகுது
0,i am waiting vijay bro super
0,eanga chiyan vikaram yappo maa mass da
0,postman web series intha padam maathiri than irukum
0,500k need to 15 m views
0,wow semma trailer padam vetri adaiya thalapathy fans saarbaga wishes to surya sir
0,rajini screen la semma jore ah irukaru super
1,deii ponga da tamil naatla rape crime increase agite poguthu yevanachu kekurega la ipo vanthu vaazhthukal mannakatti nu unmaiya ponna mathikuratha iruntha enoda cmnt ku amma thangatchi vachu reply panama pesunga da pakalam..
0,super combo.. suriya and lalettan fans hit like
0,ovvoru framum supera iruku vaazhtukkal shankar sir
0,waiting for judgement day nerkonda paarvai trailer marana mass thalaaaaaaaa.....‍
0,கடைசி விவசாயி திரை முன்னோட்டம் பாருங்க தோழர்களோ மிக சிறப்பாக இருக்கிறது.
0,padathode trailer nalla irukune soldrevanggelam oru like podunggo
0,veara level paaaaaaaàaa sema sema sema chancea illa veara level
0,karthi anna oda nadippu veral level la irukku bigscreen paakka waiting
0,ithulayum thalaivar(sekar) thaan tamil dubbing appo padam vera level hit aagum
1,comment la en da picha edukuringa... pichakara pasangala
0,10 million views ...457 k likes... nadippin naayagan suriya ... kaappaan .
0,petta paraaak.......watching the trailer continuously. marana massssss... rajinism da. pongalku tharamaana sirapaana sambavam
0,வீர வன்னியர் சங்கங்கள் சார்பாக திரௌபதி வெற்றி அடைய வாழ்த்துக்கள்
1,karthi fanslike kaithi waiting but bigil marana waitingthalapathy veriyanda
0,verithanan semma mass trailer.... theatre la kili kiillii kiiillliiiiyaapodhu :)
0,sema bro vera leavel bro sema trailer
0,நல்ல ஜாதியில் பிறந்தவன் எந்த தமிழனும் எந்த ஜாதி பெண் மானம் போக விட மாட்டான் அது தான் தமிழர் பண்பாடு...... கீழ் ஜாதி என்று சொல்லி பெண்களை சதையாக பார்க்கும் நிலைமை தான் இப்போது உள்ளது......
1,enna style u.. enna screen presence u.. pesama arjun reddy remake ivare pannirukalam pola..
1,starting looks like king liar malayalam movie
0,என்னாங்கடா இதுலயும் 6 பேக் இல்ல வச்சி செஞ்சிட்டான் அடேய் சிவா
0,pakka mass thala thala than
0,நல்ல ஒரு கமெடி படத்த பாக்க போரொம்
0,ithu sunda podara neram illa moviekku support neram.
0,vara level sathyamaaaaaaa.....indian cinemaaa vera level
0,thalaivaa.semmmaathalaivaa. thalaivaa. ummmmma love you
0,eppa varum ponavarusham vntha tailara enthina tharam pakkira
0,who see suriya at 0.02 to 0.05
0,petta and viswasam rendu movieum success aaga vaalthukal
0,music harris irutha semma ya irukum
1,vfx sucks sutthipottakuda tharuthalaikku romance varla mokkkkkkkkka
0,vara vara ks ravi kumar villa thanam vera leval la poittu irukku
0,namba kita irunthu padhipa mathum edhuka mudhiyathu
1,dai ranjith naaye ithu thaanda yenga thalaivar un caste kaaga thalaivar ra spoil panna paatha
0,pala naaal kanavu now it comes tru...
0,heyyy simbuuuu.... surprise... ummmmmaaaa love u da.....
0,surya +yuvan fans like here
0,vfx ha irunthalum oru niyayam vendama
0,198k likes for 400k likes next stop 500k likes before 24hrs
0,at last one colour full movie
0,வேற லெவல் சூப்பர் ஹீரோ படம் போல வாழ்த்துக்கள் ரவி கோமாளி
0,suriya in 4 getups semma weight tu...
0,nalla padam poladhan irruku..but pei kathaiye add paniruginga...screenplay correct irrundhal dhan padam odum..
0,ஜாதி பார்பதற்கு வெக்க ப்பட வேண்டும்..
0,உங்கள நம்பாம தாண்ட உங்க பொண்ணுக எங்களை தேடி வராங்க..அப்டி வந்தா நாங்க ஏமாத்த மாட்டோம் ...
0,movie block buster hit aagum
0,simple dialogues's mass erukum na thalaivaaaaar matum tan
0,oruveela trailer short flim ooo apditha irrukum puthusu puthusa shortflim edukuranuka
0,virunthalikku poranthavanga koda .nallatha ninaipan .. veripudicha manitha peiku poranthavanga
1,ellam ok.. but oru ponne aranjade triler le tavirtirukalam.
0,aiyoo thala mass pannita thala
0,shivakartikeyn fans where are you hit like here kamino
1,padam release late aanalum paravaa illa...... aana date mattum sollungga paa......thalaiya pichikkura mathiri irukku
1,unlike basters all
0,thala mass look>>>>>>podra vediya vetra cakeaaaaaaaaa.......=====::::{{::{:{::ll{pl:>?? ? {??{:{}?>{?>>{>>>?:{>>{???{{veri eruthu da}) thalaya pathathum.............
0,விழுப்புரம் மாவட்டம் பாட்டாளி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
0,feel like yalam avan seiyal movie let see valthukal
0,i am vj fan. i like surya anna very much
0,epo pa varudhu indhe padam ...
0,vera level ah irukea trailer eyyyy semma
0,jeeva anna mass movie block buster akum
0,teaser la ye mukka padatha mudichitinga innum enna balance?
0,i love u bro i am bangladesh
1,dai ithu ellam oru trailer ah? thu thu
0,nadippin nayakan surya anna fans like
0,vetrimaran dhanush combo polladhavan aadukalam vada chennai asuran loading...............................
0,vayasanalum unga style eppavumay maradu ..
0,intha deepavali thala fans kuda kondadaporaga
0,appappaa....intha aalukku vayasseee akaathaa thalapathy fansuda vaazhthukal.....fdfskku ready 1:55 ma fav
0,ayudha ezhuthukku appuram oru awesome movie ya irukkum i am waiting
0,any thala fan's here means like panuga pakala because i am thala fan
0,pa enna trailer. suriya anna vera level
